ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,0657667E1D6737B449161E1D8F79930B3A4E4CBE.STORY,SYSSUM.TXT,0.63415,0.10924,0.18638,1
ROUGE-1,09C9A3F543421E0DF927CDEB97F85DF1D32410D3.STORY,SYSSUM.TXT,0.65385,0.05592,0.10303,1
ROUGE-1,0A4EC4D37683347CA62B53982D2C5F4EFB86F444.STORY,SYSSUM.TXT,0.55172,0.07207,0.12749,1
ROUGE-1,11BD51721BA99D5553F9A04270858D45DAA632D8.STORY,SYSSUM.TXT,0.64706,0.10837,0.18565,1
ROUGE-1,11607129A380024CD2EAF6526A02BC88AB5BF46F.STORY,SYSSUM.TXT,0.62791,0.17308,0.27136,1
ROUGE-1,02520639B8FB19C960B42643E37061C814834803.STORY,SYSSUM.TXT,0.61224,0.14286,0.23166,1
ROUGE-1,09A60C5636F0B937874F8374AFC26ECE09CB2D7C.STORY,SYSSUM.TXT,0.40541,0.08333,0.13825,1
ROUGE-1,16C4A27E42066259797D93D5DB0239BCE0A15F18.STORY,SYSSUM.TXT,0.65854,0.19014,0.29508,1
ROUGE-1,0029837648B848C9CBDE4C26744609E85F528A6C.STORY,SYSSUM.TXT,0.76923,0.15152,0.25316,1
ROUGE-1,083A6B25BA28ED0A49CB9557742F5330BAC591B3.STORY,SYSSUM.TXT,0.48148,0.12322,0.19623,1
ROUGE-1,07288D71607F85345D4A38296B69F99C0E6814AD.STORY,SYSSUM.TXT,0.50000,0.07143,0.12500,1
ROUGE-1,03F77C5FE0AAB62817EB017AC8028E46371C8C55.STORY,SYSSUM.TXT,0.65217,0.21739,0.32609,1
ROUGE-1,168F2F2633FAF659FC790BF73D1166FAE51830E6.STORY,SYSSUM.TXT,0.56604,0.14778,0.23438,1
ROUGE-1,17AF2DE07A6D2F23881E6C3E4BEBE637579F0BCE.STORY,SYSSUM.TXT,0.65306,0.10811,0.18551,1
ROUGE-1,18CF7660E887362F828CE2DA7E18101BAAB8FBB3.STORY,SYSSUM.TXT,0.57377,0.09235,0.15909,1
ROUGE-1,0CCC9268C0A54CF43584DE98AF541AF339196E36.STORY,SYSSUM.TXT,0.56000,0.15135,0.23830,1
ROUGE-1,0FF739D2FE3DB810C0335F30D8501BDA7DB13603.STORY,SYSSUM.TXT,0.70000,0.11570,0.19858,1
ROUGE-1,0EA2CD2334EF576027B31F24FEDD99EE26CEDC41.STORY,SYSSUM.TXT,0.52273,0.13690,0.21698,1
ROUGE-1,1AD936C29551827384DBA9CBB08C310BF24DCAC1.STORY,SYSSUM.TXT,0.52542,0.16757,0.25410,1
ROUGE-1,111BD8E685583B86576F9E067885A99C9852F42A.STORY,SYSSUM.TXT,0.62963,0.02843,0.05440,1
ROUGE-1,06982BA9387AE97225CA708A936BC3843ECCC129.STORY,SYSSUM.TXT,0.46809,0.06490,0.11399,1
ROUGE-1,1128DA0A54CB2FEE19FE2EA39894D6F40191AEB8.STORY,SYSSUM.TXT,0.56364,0.07908,0.13870,1
ROUGE-1,1A05574CAE86D1BDC17B27614A7D5E93D7B51E61.STORY,SYSSUM.TXT,0.59091,0.05210,0.09576,1
ROUGE-1,0F23B3F41CEE2DEAE8ED48B5ADAA458DFB24EA68.STORY,SYSSUM.TXT,0.43750,0.16279,0.23729,1
ROUGE-1,092B1785F7CBEFBF8E5601BA3B44FF3240847A39.STORY,SYSSUM.TXT,0.58333,0.16568,0.25806,1
ROUGE-1,12A2225B3C1CE4B522A3B6A62144A9ACD3148A17.STORY,SYSSUM.TXT,0.61538,0.07595,0.13521,1
ROUGE-1,0AFDEE0F6C6E0E733DC0DEE69FFF8EC19E248D34.STORY,SYSSUM.TXT,0.31707,0.14286,0.19697,1
ROUGE-1,0F839085E203D63372B82ADE8F5EF6F32AB4FBE8.STORY,SYSSUM.TXT,0.44000,0.12291,0.19214,1
ROUGE-1,132996D0022B5E514450B2FA7BB6D26855795EA7.STORY,SYSSUM.TXT,0.62500,0.14925,0.24096,1
ROUGE-1,1A7CD0272CC5ACCB73C2B1CD6DAC89A3F0DA446D.STORY,SYSSUM.TXT,0.68182,0.10909,0.18809,1
ROUGE-1,02082B9906F64FCEA9C092A402AA25B39C1217BF.STORY,SYSSUM.TXT,0.56410,0.10000,0.16988,1
ROUGE-1,11A975590B42ADB731CD0427C1007C09370B7450.STORY,SYSSUM.TXT,0.64103,0.07599,0.13587,1
ROUGE-1,0A71F063B78184B4CA2FFEE3C642D48DC27EF91B.STORY,SYSSUM.TXT,0.57895,0.12865,0.21053,1
ROUGE-1,018FAC8AED5438C95D5F29E07D721B0F93DD033A.STORY,SYSSUM.TXT,0.46809,0.11579,0.18565,1
ROUGE-1,039700FEE9A33205A576BAFE51EA25C763891E63.STORY,SYSSUM.TXT,0.63415,0.11354,0.19259,1
ROUGE-1,0320E826D1A852AD9C12B1B97ABF7ABD0ECA4FD0.STORY,SYSSUM.TXT,0.62069,0.15254,0.24490,1
ROUGE-1,176B8DA8082646BAF69440877B91B3F084D77DFA.STORY,SYSSUM.TXT,0.28571,0.12500,0.17391,1
